Chr	Start	End	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	14979191	14981505	757994	26201	52721	5909	5931	5670	16803
chr1	15571395	15572564	166935	3685	989	1032	1052	458	2117
chr1	17753779	17754518	0	37887	3548	3624	3678	208	7917
chr1	18134004	18134801	371989	263	367174	162483	17915	602	2514
chr1	18277228	18278441	515213	21489	330648	18843	17975	0	12503
chr1	18297113	18300962	535098	0	308127	0	0	0	0
chr1	19237468	19237982	363	85466	7423	1676	1674	1613	0
chr1	19430770	19432090	0	45646	102920	61246	14938	210	1895
chr1	19745773	19746668	0	221084	27372	27729	7269	6265	16934
chr1	20673200	20673825	150654	5769	138547	67840	2796	711	0
chr1	20726107	20726750	97729	641	85622	93626	18186	0	0
chr1	21568849	21569213	1578	261494	46178	12563	12583	2308	1582
chr1	21894442	21895195	108538	1012	38965	39241	39221	189	9193
chr1	21991356	21993432	10301	0	5217	5472	5432	1793	8208
chr1	22991548	22992409	137211	5308	44419	22784	22804	0	2107
chr1	25059294	25059782	56998	126991	11389	11814	94	2326	0
chr1	25236598	25237236	0	143121	14098	12880	0	0	22560
chr1	25406952	25407639	33290	26292	45642	20428	14637	7900	9140
chr1	25427819	25428202	54157	47159	66509	0	0	0	0
chr1	25611490	25612190	38432	74156	16756	16886	1506	29522	4196
chr1	26453277	26454315	6186	3078	12712	160	153	6580	7538
chr1	27331309	27331754	57467	6927	6743	6825	2685	861	0
chr1	28365801	28369497	1130	765021	40987	9937	3717	2337	4419
chr1	28419155	28420226	45442	714292	3535	3831	3831	723	10604
chr1	28441988	28442722	34052	691796	26368	16257	0	2104	0
chr1	28499312	28500005	19771	634513	340	0	0	667	1538
chr1	28777474	28778352	14734	356166	12259	897	890	5762	9398
chr1	28790515	28791138	1948	343380	25300	13938	1801	5313	0
chr1	28813117	28813718	2164	320800	17814	18598	18598	4492	2972
chr1	28833731	28834402	0	300116	0	1267	587	0	0
chr1	28905053	28905516	0	229002	280	1311	2820	0	471
chr1	29517433	29517977	1689	45369	8331	8809	8829	5590	0
chr1	29963297	29964441	418746	97557	376680	215477	103335	70149	3609
chr1	30477532	30478281	716536	48044	594953	155388	80635	11419	2648
chr1	30939565	30940136	254681	16951	133098	54026	14881	304	26850
chr1	31154075	31154563	40254	2800	36143	36473	26453	3566	0
chr1	32490102	32490728	584	181771	7713	10638	8593	7081	0
chr1	32788815	32789536	973	140374	6631	11312	3071	6470	48304
chr1	33206522	33206891	32076	0	111	12525	6711	138	797
chr1	33951420	33952521	1676	31288	12398	13196	13196	0	4099
chr1	34307838	34309502	347254	109223	319553	59214	22437	0	0
chr1	34839538	34840290	473070	77663	210067	13039	11434	2904	908
chr1	35707906	35708236	39581	313377	25463	25725	11522	1352	12278
chr1	36134791	36135222	38432	2780	26552	27547	26527	3189	6528
chr1	36770954	36772283	1164	24825	0	293	273	0	1843
chr1	37067602	37068591	139300	5372	136952	6425	6385	448	0
chr1	37086737	37087602	158435	13879	156087	11573	11613	2082	0
chr1	37188245	37189236	259943	3455	257595	18721	8183	6591	0
chr1	37542632	37550190	390979	21861	389213	74654	9826	0	6571
chr1	37686304	37686984	254185	34283	252419	61312	16733	4271	0
chr1	37721421	37722286	218883	9	217117	32350	17556	12726	0
chr1	38014064	38014526	1514	58844	4091	5330	5310	1196	4695
chr1	38163983	38165625	96	29612	4734	5899	5879	3150	517
chr1	38221850	38223024	39071	2124	2629	36612	486	164	2860
chr1	39012985	39013910	291225	136893	10909	11346	11306	1484	5985
chr1	39078931	39079734	225401	71069	34582	53527	4787	1710	26182
chr1	39510437	39511062	8974	37111	17200	2474	2474	0	14132
chr1	40131795	40132087	74993	27420	5072	509	529	6149	0
chr1	40257825	40259159	32087	153450	1925	5757	2321	184	11539
chr1	41131911	41132482	46863	610965	0	347	407	61	0
chr1	41231691	41236492	0	506955	3419	31544	1667	0	0
chr1	42312916	42313697	263211	10884	40289	20459	20499	967	22515
chr1	42495304	42496149	148860	105197	4096	5147	5467	0	13909
chr1	44334616	44334966	7724	236927	64174	15213	15292	11854	6405
chr1	44725915	44726718	21682	108793	45879	21843	21851	96	3473
chr1	47269744	47270193	88420	3197	84401	84780	58035	1918	16424
chr1	47981412	47982582	80533	6969	70563	77728	7198	0	10126
chr1	48150747	48151210	249868	19737	239898	25046	23141	1008	6007
chr1	48583702	48584247	682823	67110	353146	120118	24078	5168	7012
chr1	50650595	50651240	254147	74920	147608	66336	13054	529	0
chr1	50962168	50962776	55687	73538	71372	5105	0	14483	8215
chr1	51183719	51184231	61819	295089	154970	5995	4325	4137	3883
chr1	51668429	51671015	151269	115528	28966	0	0	10264	3488
chr1	51733877	51735294	86990	74982	15743	0	0	0	0
chr1	51971715	51972073	21901	160563	461	131	143	5504	0
chr1	52085424	52086022	114785	274272	1747	2520	2040	4190	0
chr1	52359726	52363553	24966	5549	14282	15122	0	0	25267
chr1	52510043	52510838	2620	140814	8902	10020	10038	6103	18779
chr1	52823938	52824390	0	274998	6080	7506	7506	1205	30363
chr1	53108195	53108674	34023	8616	4844	5011	4931	4782	0
chr1	53323523	53324914	541	201936	1012	1388	1342	1403	0
chr1	53478152	53481797	16246	45053	0	0	0	1179	0
chr1	53770163	53770863	0	92912	20201	21093	11499	3316	450
chr1	53817487	53818207	26665	45568	14787	6217	6163	999	7215
chr1	54310682	54311857	8137	106546	6080	6558	6558	1387	0
chr1	54741211	54741821	3783	134301	73912	11194	11195	786	3010
chr1	55541277	55541847	192	35217	135681	64429	49985	2069	0
chr1	55730079	55731147	93840	51845	47887	12169	3935	7109	16832
chr1	55739274	55740162	103035	42830	57082	3154	3094	96	7817
chr1	55943133	55943681	306894	27606	260941	199669	5612	749	3970
chr1	55979850	55980827	343611	8429	297658	236386	30409	3412	9283
chr1	56417293	56417862	781054	194374	181457	109694	7068	479	22883
chr1	56749942	56750491	1113703	137519	150234	45717	11410	4441	0
chr1	56973402	56974117	1337163	38987	69682	18419	8199	0	23265
chr1	57187739	57189009	1551500	65359	50827	12408	12535	139	14356
chr1	58099419	58100699	845067	175463	859369	326122	86549	0	17808
chr1	58307744	58309248	636518	31441	701836	194900	83608	2480	24872
chr1	58330550	58331281	614485	54247	679803	172867	61575	1894	4268
chr1	59467713	59468183	314095	783675	5208	17713	3053	138	4036
chr1	59599244	59600241	445626	915206	11622	12415	12395	6668	28594
chr1	59762161	59763127	569020	782391	0	0	0	0	26597
chr1	60014847	60017463	314684	528055	251557	42048	9451	0	9490
chr1	60359166	60360286	26876	185232	77819	13688	6349	4466	4584
chr1	62303261	62303997	116592	324304	94195	95057	31499	4602	41204
chr1	62863116	62866071	41456	109975	35045	7127	7125	0	7456
chr1	63274613	63275247	167194	127832	23601	24729	349	1428	2906
chr1	63441883	63442971	334464	38686	190871	12781	11499	3776	40263
chr1	63825272	63827073	76796	40212	5731	6103	383	0	0
chr1	63864467	63865859	38010	79407	30267	31143	29860	3922	13941
chr1	64824815	64826792	472359	225333	108680	108964	89820	302	72340
chr1	65644718	65645870	245237	176990	29379	30274	4214	7845	3399
chr1	66064397	66065117	166427	576676	104691	88339	72893	1057	25531
chr1	67071110	67071721	235940	10269	146435	3426	3386	847	77229
chr1	69223022	69224159	1068282	433619	259699	260138	214840	5270	0
chr1	70867832	70870806	28512	281407	5220	5950	5950	0	3736
chr1	70994616	70995557	95178	156656	115723	18632	18661	0	0
chr1	72214839	72215693	677186	527072	70111	532863	136596	4895	0
chr1	72309473	72310181	771820	432584	164745	438375	231230	0	0
chr1	72406343	72407193	868690	335572	261615	341363	208999	1935	9169
chr1	72666380	72668131	1128727	74634	80799	80425	50040	5527	8922
chr1	74100136	74100626	1076247	840630	562227	363550	96668	4197	5451
chr1	74309012	74310968	865905	630288	351885	153208	72588	0	34562
chr1	74515520	74516612	660261	424644	146241	51196	51196	1140	1198
chr1	74927874	74928901	247972	12355	210084	25790	415	1918	0
chr1	75091488	75091904	84969	53687	47081	26672	11640	11602	0
chr1	75915011	75915989	283410	301737	73396	109927	37171	1807	46274
chr1	76581340	76582173	318245	12852	37864	37823	20523	454	13130
chr1	76721429	76722873	458334	21224	100945	37383	13363	6942	4017
chr1	77103793	77104500	840698	127141	212147	29467	29256	11028	0
chr1	77313270	77313688	712846	19879	20199	23608	16806	5175	22368
chr1	77790799	77791503	235031	4124	42216	105595	11335	7249	0
chr1	77802567	77803330	223204	6821	53984	117363	23103	3521	11015
chr1	77935480	77935876	90658	4198	55233	9676	9972	1197	2535
chr1	78106256	78107009	4137	165882	30769	14427	14447	420	4265
chr1	78329900	78330811	2556	180119	23232	35679	23285	23103	6108
chr1	78725486	78725893	264103	214360	116493	145142	47846	12035	16877
chr1	79651339	79651870	520726	488553	132295	7286	2326	1494	2148
chr1	80065252	80066003	934639	902466	546208	38219	38173	2881	6596
chr1	80095923	80096485	965310	933137	576879	7737	7691	2662	0
chr1	80111360	80112432	980747	948574	592316	6990	7036	9748	830
chr1	80502161	80503249	1371548	1339375	983117	188377	8722	0	0
chr1	80550725	80551418	1420112	1387939	1031681	236941	30830	15431	7013
chr1	80891505	80892024	1760892	1374996	811411	213452	106241	15391	12310
chr1	82693927	82694443	2261137	426789	921877	546237	75118	16741	3292
chr1	82799229	82800177	2155403	532091	1027179	645219	2903	11747	718
chr1	82950960	82951512	2004068	683822	1178910	493884	89546	26814	1645
chr1	83024990	83025737	1929843	757852	1132805	419659	142228	9007	0
chr1	83576556	83577178	1378402	1236723	581364	131012	8052	4715	72135
chr1	84656882	84657830	297750	156071	99934	38354	24178	4783	3115
chr1	85013788	85014532	47775	199727	24082	24344	24324	6051	0
chr1	85122184	85123893	156171	158167	31174	31743	1083	0	23296
chr1	86598732	86599384	427903	22580	139768	116480	21146	11512	39831
chr1	86619361	86619939	448532	2025	160397	137109	591	6795	19276
chr1	87091376	87091788	90596	468650	77379	8612	8212	4024	7848
chr1	88057142	88058672	246513	300299	255412	49731	0	0	203
chr1	89362921	89363801	9857	588156	5031	5577	5617	1274	23379
chr1	89630826	89631401	110504	320556	32502	123662	5435	8650	10727
chr1	89953987	89954865	433665	1912	34668	35451	4766	4916	0
chr1	90605922	90606393	116201	397529	143653	7078	7078	3303	13349
chr1	91402647	91403351	1731	210492	81612	83625	17413	2811	7620
chr1	92712214	92713320	0	216866	50264	51156	28590	0	6674
chr1	93106210	93106680	160185	610862	56254	52926	17246	5286	6009
chr1	93496635	93496951	97244	417513	47078	2494	1551	9181	3084
chr1	94529194	94530783	166957	8282	153498	25790	1920	6	3069
chr1	94648028	94648363	285791	54258	54122	54833	11436	7230	2423
chr1	94661002	94661455	286826	41166	41030	41741	1055	5115	4108
chr1	94770338	94770828	177453	67591	29984	30655	27728	2281	0
chr1	94981922	94982676	11536	21590	24193	34632	24740	1940	0
chr1	95427074	95428042	280882	274237	240	16854	454	669	8078
chr1	95490288	95490863	218061	337451	46417	18173	16333	9267	0
chr1	95752923	95753344	42738	600086	52330	53159	25687	2802	11086
chr1	96168827	96169554	458642	1015990	468234	469063	48995	7242	0
chr1	97014936	97016290	182668	1862099	170388	170926	88941	6122	0
chr1	97560715	97561917	267885	2168125	42167	63099	41899	8152	13603
chr1	97642942	97643451	350112	2086591	38466	17778	13458	2161	12360
chr1	98506671	98507185	1213841	1222857	119548	12591	4327	2738	45635
chr1	99038542	99039351	1136211	690691	88145	87846	82656	401	13136
chr1	99397844	99398556	777006	331486	269913	60500	60480	7088	15401
chr1	99476322	99476672	698890	253370	348391	73524	5398	2767	9730
chr1	99712163	99713119	462443	16923	510313	27399	16857	8185	792
chr1	100179116	100180012	0	448565	43420	5653	5652	602	11572
chr1	100380193	100380907	365	622742	53841	54549	54549	22571	0
chr1	100467939	100468607	46415	535042	31203	32335	3067	0	3690
chr1	102088340	102089114	221186	1083792	184296	54989	54866	0	1213
chr1	102367448	102368494	500294	1203836	463404	334097	94002	7475	1815
chr1	102489140	102489911	621986	1082419	585096	455789	26496	1829	3744
chr1	103205988	103209794	862590	362536	850500	284666	78574	0	29087
chr1	103497784	103498819	573565	73511	561475	3176	3686	9323	6010
chr1	104808494	104810179	713636	1235984	738053	477256	93507	350	0
chr1	106776987	106777931	2460707	904337	781247	130437	14279	32813	42021
chr1	107069087	107069758	2168880	612510	489420	124046	7538	7540	20155
chr1	107316751	107317601	1921037	364667	241577	61781	30020	17392	18335
chr1	108431942	108432516	806122	156950	44541	44800	0	7838	6091
chr1	109779846	109781094	0	11785	11258	23242	10922	1061	19177
chr1	109964127	109964914	0	114177	2660	3302	3222	3807	0
chr1	111094028	111094799	146800	191	54257	55127	3217	2699	10755
chr1	111490027	111490599	1934	211286	14197	15497	14871	7249	1128
chr1	111899655	111900026	80932	434892	10197	10391	10391	8635	0
chr1	113171460	113172315	2613	90339	5400	6425	5961	1333	19253
chr1	113368770	113369125	89142	22864	109736	55766	14291	10386	0
chr1	114421181	114421613	16217	176882	6759	3962	1783	3666	38803
chr1	114716915	114717663	200646	17287	170985	65085	47431	0	11793
chr1	117044473	117045264	10598	154615	42394	1912	1372	1958	1698
chr1	118815890	118817025	310097	161515	341392	24822	61131	712	0
chr1	118827017	118827772	321224	172642	352519	35949	50384	2322	1733
chr1	119007462	119008129	501669	353087	532964	216394	98927	3334	0
chr1	119526900	119567010	124330	0	114874	23856	0	0	0
chr1	119676578	119677651	13689	128993	4233	5225	4405	4407	16488
chr1	120141308	120142080	23310	32623	47665	12256	12236	2234	0
chr1	121100748	121101343	607322	735889	36974	99253	36493	36927	43211
chr1	121829708	121830803	1336282	1464849	690939	628964	568204	568112	772171
chr1	121954792	121955459	1461366	1589933	816023	754048	693288	693196	897255
chr1	122154273	122155348	1660847	1789414	1015504	953529	892769	892677	1096736
chr1	122155822	122156988	1662396	1790963	1017053	955078	894318	894226	1098285
chr1	122522225	122523031	2028799	2157366	1383456	1321481	1260721	1260629	1464688
chr1	123948566	123949071	3455140	3583707	2809797	2747822	2687062	2686970	2891029
chr1	124146822	124148041	3653396	3781963	3008053	2946078	2885318	2885226	3089285
chr1	124582997	124583801	4089571	4218138	3444228	3382253	3321493	3321401	3525460
chr1	124735206	124735905	4241780	4370347	3596437	3534462	3473702	3473610	3677669
chr1	124895334	124895784	4401908	4530475	3756565	3694590	3633830	3633738	3837797
chr1	125428347	125429601	4934921	5063488	4289578	4227603	4166843	4166751	4370810
chr1	125802360	125803314	5308934	5437501	4663591	4601616	4540856	4540764	4744823
chr1	125961208	125963271	5467782	5596349	4822439	4760464	4699704	4699612	4903671
chr1	126347980	126349511	5854554	5983121	5209211	5147236	5086476	5086384	5290443
chr1	126480647	126481226	5987221	6115788	5341878	5279903	5219143	5219051	5423110
chr1	126588554	126589109	6095128	6223695	5449785	5387810	5327050	5326958	5531017
chr1	126668738	126669688	6175312	6303879	5529969	5467994	5407234	5407142	5611201
chr1	126670355	126670920	6176929	6305496	5531586	5469611	5408851	5408759	5612818
chr1	127074164	127074974	6580738	6709305	5935395	5873420	5812660	5812568	6016627
chr1	129014168	129014542	8520742	8649309	7875399	7813424	7752664	7752572	7956631
chr1	129551489	129552497	9058063	9186630	8412720	8350745	8289985	8289893	8493952
chr1	130071328	130072113	9577902	9706469	8932559	8870584	8809824	8809732	9013791
chr1	130146878	130148084	9653452	9782019	9008109	8946134	8885374	8885282	9089341
chr1	130224547	130225945	9731121	9859688	9085778	9023803	8963043	8962951	9167010
chr1	130484758	130485589	9991332	10119899	9345989	9284014	9223254	9223162	9427221
chr1	130578534	130579239	10085108	10213675	9439765	9377790	9317030	9316938	9520997
chr1	130958499	130959607	10465073	10593640	9819730	9757755	9696995	9696903	9900962
chr1	131389989	131390702	10896563	11025130	10251220	10189245	10128485	10128393	10090895
chr1	132246163	132247102	11752737	11881304	11107394	11045419	10356879	10289668	9234495
chr1	134077195	134077707	9936252	10961248	9665558	9665785	8526274	8459063	7403890
chr1	134506092	134507157	9506802	10531798	9236108	9236335	8096824	8029613	6974440
chr1	135671149	135671799	8342160	9367156	8071466	8071693	6932182	6864971	5809798
chr1	136049053	136049897	7964062	8989058	7693368	7693595	6554084	6486873	5431700
chr1	136083214	136084016	7929943	8954939	7659249	7659476	6519965	6452754	5397581
chr1	136356265	136357263	7656696	8681692	7386002	7386229	6246718	6179507	5124334
chr1	137387641	137388226	6625733	7650729	6355039	6355266	5215755	5148544	4093371
chr1	138092061	138092579	5921380	6946376	5650686	5650913	4511402	4444191	3389018
chr1	138659388	138660192	5353767	6378763	5083073	5083300	3943789	3876578	2821405
chr1	139014995	139016031	4997928	6022924	4727234	4727461	3587950	3520739	2465566
chr1	139158962	139161913	4852046	5877042	4581352	4581579	3442068	3374857	2319684
chr1	139838298	139838921	4175038	5200034	3904344	3904571	2765060	2697849	1642676
chr1	139939366	139940265	4073694	5098690	3803000	3803227	2663716	2596505	1541332
chr1	140956921	140957760	3056199	4081195	2785505	2785732	1646221	1579010	523837
chr1	141827644	141827966	2185993	3210989	1915299	1915526	776015	708804	0
chr1	142338006	142338523	1675436	2700432	1404742	1404969	265458	198247	0
chr1	142496539	142499484	1514475	2539471	1243781	1244008	104497	37286	110498
chr1	142693110	142701879	1312080	2337076	1041386	1041613	74146	37342	20782
chr1	142769986	142770639	1243320	2268316	972626	972853	120337	26304	12971
chr1	142792643	142793280	1220679	2245675	949985	950212	97696	3663	35628
chr1	143055834	143056520	957439	1982435	686745	686972	100638	258597	183113
chr1	143727316	143728088	285871	1310867	15177	15404	15404	15911	0
chr1	144041038	144042301	25122	996654	296752	127534	24895	21767	28231
chr1	144706289	144707155	158930	331800	111477	112505	26485	31342	181598
chr1	145789100	145789494	96508	239529	37144	37542	37522	45331	6361
chr1	146255116	146255454	374977	287633	118143	118052	114662	93143	0
chr1	146452675	146453387	177044	89700	77517	65089	65069	88371	154399
chr1	147942379	147944036	816050	118002	56519	116466	10282	116087	133268
chr1	148918484	148918940	977325	367440	297047	9216	9216	127868	362
chr1	149482477	149482942	413323	931433	183503	51229	31334	103262	26463
chr1	150202236	150203358	451	909503	1786	3658	3029	2464	40558
chr1	150466825	150467753	815	645108	5869	7001	6981	9162	2291
chr1	150571872	150573080	14752	539781	18826	11016	10698	2642	3362
chr1	150860279	150861534	39277	251327	10187	10995	982	3808	0
chr1	150897747	150898511	2300	214350	0	0	0	115	2077
chr1	151118535	151119574	11759	608	0	0	0	0	0
chr1	151387869	151389308	0	269942	14415	15805	14005	1305	13646
chr1	151453316	151454107	50018	335389	7017	5412	4312	780	8475
chr1	152004588	152005502	0	19851	1292	15034	1341	1599	1621
chr1	152235569	152236128	229051	83329	73504	73045	42321	8296	0
chr1	152793048	152793347	786530	131482	33636	60089	34304	1525	0
chr1	152959241	152959816	649113	5225	77801	18237	18237	12056	6339
chr1	153082039	153083475	525454	34410	149725	11954	11981	14012	0
chr1	153413232	153413681	195248	4270	94525	24695	24655	2288	0
chr1	153572677	153573228	35701	85211	26177	1073	1133	16934	0
chr1	153785892	153786951	0	127270	22374	7808	6985	4577	5790
chr1	153894283	153894742	7011	235661	0	374	694	289	0
chr1	154163320	154164253	11170	971	7006	7516	4436	4507	1701
chr1	154480142	154480677	40496	0	48297	50679	4718	4090	32214
chr1	157911412	157912543	805718	0	134804	20992	15524	5924	40927
chr1	158853848	158855367	130228	256813	50734	52684	24536	9543	0
chr1	159557419	159558757	326693	218576	191310	191819	7175	0	6016
chr1	159936130	159936625	45639	8406	40188	20566	7356	1262	586
chr1	160422689	160423028	32360	42688	14428	20205	308	5976	4337
chr1	160867840	160869940	83118	360310	96900	60296	13196	11661	0
chr1	161280566	161280999	12862	26253	2476	3077	3077	1509	87158
chr1	161638931	161639388	7733	311534	37225	21387	21367	13307	53488
chr1	161830478	161831724	6096	119198	92952	21581	20184	18298	24265
chr1	162673746	162674186	51110	316017	69900	70203	550	4268	5317
chr1	162891539	162892079	149509	476733	98794	29604	1827	5479	13970
chr1	163222647	163223283	47295	145529	67309	62393	68293	29191	6517
chr1	163899768	163900266	595112	122203	606701	608064	7404	3412	31461
chr1	164757328	164758140	872067	1997	228776	70884	504	0	24772
chr1	165093719	165094212	535995	7150	472601	133104	4724	4666	2190
chr1	165449788	165450481	179726	13887	116332	87304	10379	19831	17521
chr1	166134429	166135008	254398	162242	0	1248	5	93	35918
chr1	167343208	167344490	0	181614	41137	44644	0	6023	0
chr1	167381384	167382681	0	219790	25586	82820	10620	0	20966
chr1	167510341	167510822	3012	348747	706	12134	697	418	45868
chr1	167527321	167528009	13309	365727	3641	1737	1757	1690	28681
chr1	168197086	168197797	1300	90180	0	1822	522	264	34554
chr1	169282165	169283314	62408	689549	3039	3422	3421	0	0
chr1	169289737	169290806	54916	697121	10611	10994	5442	2074	0
chr1	169828396	169828799	0	332022	31263	33977	34017	650	3696
chr1	169870189	169870645	14607	290176	6218	6965	6985	2590	7804
chr1	171530572	171531423	0	71152	72757	44213	44213	0	37705
chr1	172401294	172402007	128744	324849	10181	2570	2590	2498	3137
chr1	174657333	174658127	6949	643002	110484	37709	22449	4208	23347
chr1	174754878	174756422	28660	544707	12189	12374	0	15480	6146
chr1	175066547	175067337	62445	233792	43530	43799	20348	8704	450
chr1	175260088	175261078	123888	40051	97666	3324	3344	3962	0
chr1	175443796	175444452	307596	18040	123497	84172	5938	4099	0
chr1	175599871	175600669	356924	15185	31099	29639	29627	813	0
chr1	177738320	177739101	1294445	137530	323266	178465	39785	3012	27995
chr1	178228394	178229108	804438	165853	164729	158590	3538	4432	0
chr1	178974839	178975499	58047	53784	18967	2775	2755	1531	66790
chr1	179119542	179120083	32827	198487	20198	20498	16443	8884	0
chr1	179472206	179473242	157836	274425	136237	46082	6074	1545	21217
chr1	179599180	179599636	215583	148031	184503	76048	2466	1655	61870
chr1	181707299	181708199	2553	247712	198093	197777	5533	3482	0
chr1	181820544	181821133	56622	134778	85159	84843	52680	10876	0
chr1	182469801	182471192	73212	185787	86056	73437	13604	10218	12105
chr1	182664801	182665758	93462	1469	79675	18057	14517	632	4183
chr1	183505350	183506843	1540	141220	50267	52793	29953	369	7151
chr1	183804197	183805051	6486	109274	5909	5738	5725	2393	11226
chr1	183934251	183935683	34843	19803	52797	8247	8267	1247	18617
chr1	184052330	184052795	152922	46325	30163	31406	7606	3685	90379
chr1	184733505	184733808	30378	221762	8288	9241	9241	1466	0
chr1	185352691	185354460	77114	348679	65111	44127	12828	9533	35444
chr1	185760307	185761138	484730	57008	55463	70278	21318	7732	30875
chr1	187140375	187140909	231534	1437076	98400	119288	5660	2351	9038
chr1	187276323	187276789	367482	1573024	36484	255236	76775	4029	5118
chr1	187677782	187678297	768941	1974483	437943	277079	35659	19201	6127
chr1	188214155	188215167	1305314	2510856	974316	217071	6862	5223	1618
chr1	189748302	189748846	2839461	2852587	2508463	657013	8510	2851	20036
chr1	189756935	189757315	2848094	2844118	2517096	648544	41	4944	11567
chr1	189899367	189900306	2990526	2701127	2614228	505553	8183	2080	4781
chr1	190266119	190266674	2697123	2334759	2247860	139185	78662	26760	3761
chr1	190453186	190453638	2510159	2147795	2060896	5565	5468	5046	27614
chr1	190534125	190535618	2428179	2065815	1978916	86504	1640	3488	31019
chr1	190599062	190600390	2363407	2001043	1914144	151441	66577	862	4970
chr1	190868789	190869864	2093933	1731569	1644670	421168	139565	1245	42973
chr1	191211905	191217798	1745999	1383635	1296736	764284	68101	6064	30054
chr1	191693999	191694718	1269079	906715	819816	752058	129435	8568	19564
chr1	191894061	191894466	1069331	706967	620068	552310	192846	12903	2982
chr1	192955140	192956365	7432	353589	69860	33776	5454	504	104
chr1	193138494	193139055	845	536943	44888	13039	13063	11096	17328
chr1	193223379	193224006	5007	621828	129773	70987	12795	0	7747
chr1	193956602	193957147	724381	1355051	162997	301768	15840	126	5067
chr1	194391296	194392156	1159075	1789745	270735	55060	8175	1175	0
chr1	195078566	195079159	1846345	2477015	958005	85337	78621	3826	17305
chr1	195188606	195189336	1862596	2587055	1068045	23746	18280	4763	0
chr1	195266344	195267504	1784428	2609195	1145783	101484	58580	894	25051
chr1	197824289	197825204	344565	51495	45887	46732	46752	174	35418
chr1	200680306	200681161	35104	372548	26284	26655	26975	2355	1251
chr1	201232540	201233412	111176	4474	91643	92456	8591	4241	20326
chr1	202351982	202352598	49303	103448	32880	34118	7438	2294	40843
chr1	203056298	203057891	62880	0	59824	29179	2394	2371	13104
chr1	203940999	203941469	93974	101361	100641	110235	51239	5469	35
chr1	204619751	204620482	76668	1980	62473	40180	26371	9757	19890
chr1	205931889	205932850	163011	14742	112590	112485	43565	16671	19217
chr1	206882101	206883261	10857	275488	21538	7387	7455	521	0
chr1	206990326	206991639	4645	167110	26173	13442	0	1932	8423
chr1	207058434	207060811	15117	97938	28755	19890	19910	148	471
chr1	207298449	207299584	75464	13780	71261	27025	27005	7141	0
chr1	210115301	210115950	86756	61517	113194	46935	4077	1581	4968
chr1	210140457	210141335	111912	86673	138350	21550	29233	20970	0
chr1	210382261	210382703	353716	44475	41893	119493	41933	12735	5750
chr1	210573489	210574196	544944	135616	55904	0	0	0	4152
chr1	211151703	211152669	287936	121508	154516	28159	28139	818	790
chr1	211357383	211358706	81899	38786	49974	3610	3610	5625	0
chr1	211480517	211481266	5493	161920	18274	46193	1873	1066	0
chr1	211608123	211608754	59169	289526	18463	18256	17381	34732	3291
