Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
chr1	106072795	106073500	0	705	31.9625	0.0453369	142.486	0.202107	0	0	31.9625	142.486	13.9712	0.0198173	2.7344	0.00387859
chr1	164140966	164142005	0	1039	0	0	213.016	0.20502	110.951	0.106786	0	213.016	13.7742	0.0132572	0	0
chr1	26032438	26034806	0	2368	1452.64	0.613446	4056.32	1.71297	491.49	0.207555	1452.64	4056.32	33.6184	0.014197	29.7426	0.0125602
chr1	18871566	18872068	0	502	133.02	0.264981	880.762	1.75451	20.975	0.0417828	133.02	880.762	1.02139	0.00203465	1.72699	0.00344022
chr1	108395667	108396282	0	615	109.879	0.178665	395.166	0.642546	5.54112	0.00900995	109.879	395.166	0	0	0	0
chr1	162197215	162198162	0	947	355.453	0.375346	2061.16	2.17652	449.568	0.474729	355.453	2061.16	12.0306	0.0127039	13.8639	0.0146398
chr1	230705505	230707567	0	2062	738.604	0.358198	2147.41	1.04142	91.2984	0.0442766	738.604	2147.41	9.73972	0.00472343	13.4322	0.00651414
chr1	99219916	99220963	0	1047	282.408	0.269731	292.226	0.279108	319.804	0.305448	282.408	292.226	73.8249	0.0705109	46.9646	0.0448564
chr1	111427817	111428702	0	885	773.955	0.874525	98.5589	0.111366	485.784	0.548908	773.955	98.5589	14.7737	0.0166935	40.8242	0.046129
chr1	98839829	98841491	0	1662	328.564	0.197692	542.505	0.326417	61.0813	0.0367517	328.564	542.505	10.389	0.00625092	0	0
chr1	148395709	148396553	0	844	0	0	0	0	0	0	0	0	0	0	0	0
chr1	30733718	30734254	0	536	566.384	1.05669	1327.97	2.47755	267.413	0.498906	566.384	1327.97	10.2212	0.0190694	14.3916	0.02685
chr1	97736353	97737204	0	851	271.594	0.319147	809.349	0.951056	49.3267	0.0579633	271.594	809.349	31.7216	0.0372756	39.8168	0.0467882
chr1	117218547	117218958	0	411	75.8782	0.184618	273.011	0.664262	146.098	0.35547	75.8782	273.011	0.393966	0.000958555	8.34713	0.0203093
chr1	89650663	89651313	0	650	177.339	0.272829	140.666	0.216409	117.752	0.181157	177.339	140.666	15.2188	0.0234135	25.713	0.0395585
chr1	174823322	174824527	0	1205	1211.82	1.00566	76.4564	0.0634493	14.3155	0.01188	1211.82	76.4564	19.2678	0.0159899	22.0671	0.018313
chr1	184109641	184110089	0	448	0	0	349.555	0.780256	81.508	0.181937	0	349.555	2744.77	6.12671	965.437	2.15499
chr1	137468411	137469488	0	1077	0	0	0	0	0	0	0	0	19.2387	0.0178632	13.4322	0.0124718
chr1	47008736	47009988	0	1252	614.616	0.490907	3493.37	2.79023	63.4959	0.0507156	614.616	3493.37	575.424	0.459604	1152.48	0.920512
chr1	110694624	110696566	0	1942	791.698	0.407672	3814.99	1.96447	236.514	0.121789	791.698	3814.99	14.9999	0.00772394	23.1225	0.0119065
chr1	94257037	94258005	0	968	0	0	0	0	0	0	0	0	21.0845	0.0217815	0	0
chr1	61244143	61246670	0	2527	318.134	0.125894	237.785	0.0940977	0	0	318.134	237.785	0	0	0	0
chr1	85685515	85686513	0	998	449.452	0.450352	1811.01	1.81464	285.37	0.285942	449.452	1811.01	5.34042	0.00535113	19.4766	0.0195157
chr1	44453937	44454905	0	968	701.071	0.724246	228.792	0.236356	82.4324	0.0851575	701.071	228.792	22.0767	0.0228065	13.768	0.0142231
chr1	74506681	74507373	0	692	59.6337	0.0861758	53.7781	0.0777139	66.8005	0.0965326	59.6337	53.7781	0.109435	0.000158143	0	0
chr1	167872731	167873518	0	787	140.473	0.178492	245.036	0.311355	67.9482	0.0863383	140.473	245.036	0.0145913	1.85405e-05	15.6868	0.0199325
chr1	134162212	134163705	0	1493	0	0	0	0	0	0	0	0	14.8978	0.0099784	5.42084	0.00363083
chr1	72690403	72691555	0	1152	89.7082	0.0778717	538.939	0.467829	19.8947	0.0172697	89.7082	538.939	50.0191	0.0434194	54.1124	0.0469726
chr1	209165335	209166021	0	686	64.0336	0.0933434	150.076	0.21877	65.0403	0.0948109	64.0336	150.076	8.03982	0.0117199	8.15524	0.0118881
chr1	102735479	102736596	0	1117	211.476	0.189325	571.976	0.512065	110.951	0.0993295	211.476	571.976	8.75479	0.00783777	33.5804	0.030063
chr1	11922845	11924281	0	1436	493.086	0.343375	2649.5	1.84505	246.388	0.171579	493.086	2649.5	34.8149	0.0242444	32.4291	0.0225829
chr1	161759451	161761044	0	1593	4627.45	2.90486	235.718	0.147971	243.239	0.152692	4627.45	235.718	19.2606	0.0120908	21.7313	0.0136418
chr1	113397766	113399314	0	1548	605.394	0.391081	2254.42	1.45634	532.376	0.343912	605.394	2254.42	27.833	0.0179799	13.4322	0.00867711
chr1	37955283	37956148	0	865	1605.12	1.85564	37.422	0.0432625	64.3789	0.0744264	1605.12	37.422	14.6278	0.0169108	21.1077	0.0244019
chr1	27152337	27153041	0	704	626.262	0.889577	219.925	0.312393	10006.7	14.2141	626.262	219.925	7.92309	0.0112544	13.0004	0.0184665
chr1	221793433	221794291	0	858	166.419	0.193962	140.234	0.163443	0	0	166.419	140.234	4.3774	0.00510186	0	0
chr1	46673818	46682587	0	8769	3265.63	0.372406	6049.74	0.689901	1111.32	0.126733	3265.63	6049.74	216.842	0.0247282	370.536	0.0422552
chr1	104379162	104386720	0	7558	1548.74	0.204914	2276.67	0.301227	1377.81	0.182298	1548.74	2276.67	141.872	0.018771	248.399	0.0328657
chr1	71762728	71763196	0	468	227.339	0.485767	331.771	0.708911	94.4825	0.201886	227.339	331.771	5.60308	0.0119724	3.21412	0.00686779
chr1	4622956	4624253	0	1297	305.189	0.235304	1031.46	0.795263	173.495	0.133766	305.189	1031.46	32.7502	0.0252508	22.1631	0.017088
chr1	203218992	203219593	0	601	200.24	0.333178	938.849	1.56214	0	0	200.24	938.849	7.15704	0.0119086	14.7754	0.0245847
chr1	66679757	66680956	0	1199	285.467	0.238087	609.808	0.508597	139.117	0.116028	285.467	609.808	29.5037	0.0246069	71.2384	0.0594149
chr1	131128615	131129110	0	495	0	0	0	0	0	0	0	0	11.0821	0.0223881	26.5285	0.053593
chr1	147476665	147477383	0	718	0	0	0	0	0	0	0	0	5.7198	0.00796629	11.8971	0.0165697
chr1	183898305	183898708	0	403	878.804	2.18065	85.0022	0.210924	209.079	0.518805	878.804	85.0022	9.2801	0.0230275	12.6166	0.0313068
chr1	220779278	220779905	0	627	0	0	0	0	0	0	0	0	0	0	0	0
chr1	73049366	73050323	0	957	0	0	237.802	0.248487	221.902	0.231873	0	237.802	7.58749	0.00792841	5.51678	0.00576466
chr1	118757325	118757643	0	318	0	0	87.664	0.275673	28.6455	0.0900801	0	87.664	1.89687	0.005965	0	0
chr1	108997068	108997413	0	345	0	0	0	0	0	0	0	0	6.20131	0.0179748	1.1993	0.00347623
chr1	120058102	120058836	0	734	382.145	0.520633	1902.33	2.59173	110.951	0.15116	382.145	1902.33	6.97466	0.00950226	15.3511	0.0209142
chr1	75973269	75973710	0	441	0	0	601.951	1.36497	158.885	0.360283	0	601.951	3.98344	0.00903273	12.3768	0.0280653
chr1	203254105	203255582	0	1477	507.863	0.343848	243.501	0.164862	1230.71	0.833247	507.863	243.501	38.6087	0.0261399	62.3156	0.0421907
chr1	27823565	27824039	0	474	45.3026	0.0955752	81.648	0.172253	245.717	0.518391	45.3026	81.648	9.55732	0.0201631	0	0
chr1	161658784	161659196	0	412	317.941	0.7717	79.6979	0.193442	42.437	0.103002	317.941	79.6979	4.90268	0.0118997	0	0
chr1	247708042	247709011	0	969	261.099	0.269452	508.253	0.524513	101.576	0.104825	261.099	508.253	0	0	0	0
chr1	198102188	198103045	0	857	75.5382	0.0881426	0	0	187.923	0.219279	75.5382	0	24.5426	0.0286378	18.7091	0.0218309
chr1	176052836	176053278	0	442	342.04	0.773847	266.493	0.602925	210.98	0.477331	342.04	266.493	8.34624	0.0188829	6.71608	0.0151948
chr1	228391575	228392947	0	1372	256.125	0.18668	1697.24	1.23706	319.208	0.232659	256.125	1697.24	20.2965	0.0147934	15.351	0.0111888
chr1	21541970	21542719	0	749	696.223	0.929537	638.214	0.852088	98.8282	0.131947	696.223	638.214	3.23197	0.00431505	0	0
chr1	135967550	135968373	0	823	0	0	0	0	0	0	0	0	15.0437	0.0182791	28.7832	0.0349735
chr1	177648374	177649671	0	1297	558.386	0.430521	896.249	0.691017	414.163	0.319324	558.386	896.249	14.9634	0.0115369	38.1378	0.0294046
chr1	129236756	129237494	0	738	0	0	0	0	0	0	0	0	23.0251	0.0311993	6.71608	0.00910038
chr1	144248321	144249357	0	1036	0	0	0	0	0	0	0	0	10.1702	0.00981676	6.04447	0.00583443
chr1	41795519	41796290	0	771	426.055	0.552601	2127.75	2.75973	201.551	0.261415	426.055	2127.75	11.4688	0.0148752	31.5176	0.0408789
chr1	13713359	13714348	0	989	0	0	0	0	0	0	0	0	11.0602	0.0111832	0	0
chr1	17921978	17922840	0	862	735.117	0.852804	2205.96	2.55911	94.568	0.109708	735.117	2205.96	6.74119	0.0078204	0	0
chr1	110110273	110111359	0	1086	813.988	0.749529	177.664	0.163594	343.846	0.316617	813.988	177.664	0	0	0	0
chr1	60387177	60388240	0	1063	122.105	0.114868	524.337	0.493261	0	0	122.105	524.337	35.5737	0.0334654	14.3916	0.0135387
chr1	122301141	122301631	0	490	0	0	0	0	0	0	0	0	6.53692	0.0133406	10.6498	0.0217343
chr1	181873001	181873659	0	658	340.363	0.517269	1822.71	2.77007	0	0	340.363	1822.71	8.01064	0.0121742	7.67552	0.0116649
chr1	160782074	160783175	0	1101	1054.66	0.957912	114.283	0.1038	113.193	0.102809	1054.66	114.283	90.1015	0.0818361	50.1787	0.0455756
chr1	172041453	172041881	0	428	60.0054	0.140199	50.7199	0.118504	0	0	60.0054	50.7199	6.03351	0.014097	0	0
chr1	95074079	95075215	0	1136	598.849	0.527156	1683.69	1.48212	331.384	0.291712	598.849	1683.69	8.57241	0.00754613	0	0
chr1	42660068	42660785	0	717	1417.49	1.97697	192.768	0.268854	86.1558	0.120161	1417.49	192.768	0	0	0	0
chr1	70267497	70268753	0	1256	0	0	237.785	0.189319	37.4938	0.0298518	0	237.785	0	0	0	0
chr1	29721763	29722948	0	1185	642.126	0.541879	1820.14	1.53599	121.549	0.102573	642.126	1820.14	17.0062	0.0143512	14.3916	0.0121448
chr1	14188725	14189944	0	1219	471.464	0.386763	1289	1.05742	25.3972	0.0208345	471.464	1289	0	0	0	0
chr1	143316863	143317883	0	1020	0	0	0	0	0	0	0	0	7.79906	0.00764614	19.3327	0.0189536
chr1	244251029	244252714	0	1685	675.416	0.40084	2681.94	1.59166	204.143	0.121153	675.416	2681.94	26.1696	0.0155309	22.307	0.0132386
chr1	123185794	123186227	0	433	0	0	0	0	0	0	0	0	3.21009	0.00741361	16.3105	0.0376686
chr1	109896286	109896690	0	404	52.1784	0.129154	340.549	0.842942	96.0772	0.237815	52.1784	340.549	244.113	0.60424	219.52	0.543367
chr1	70973678	70974267	0	589	61.668	0.104699	260.37	0.442054	0	0	61.668	260.37	15.0437	0.025541	14.3916	0.024434
chr1	172961219	172962278	0	1059	355.835	0.33601	1378.02	1.30125	110.951	0.10477	355.835	1378.02	15.0728	0.0142331	31.8534	0.0300788
chr1	137719851	137720781	0	930	0	0	0	0	0	0	0	0	21.9745	0.0236285	30.0305	0.0322908
chr1	79153782	79154938	0	1156	471.516	0.407886	434.084	0.375505	67.4312	0.0583315	471.516	434.084	56.9354	0.0492521	67.7365	0.0585956
chr1	17939961	17941184	0	1223	861.547	0.704454	2170.86	1.77503	269.077	0.220014	861.547	2170.86	0	0	0	0
chr1	182343359	182343861	0	502	122.708	0.244438	322.212	0.641856	126.792	0.252574	122.708	322.212	16.6779	0.0332229	0	0
chr1	5955997	5960885	0	4888	9833.88	2.01184	1644.48	0.336432	1298.38	0.265626	9833.88	1644.48	40.5201	0.00828971	119.93	0.0245356
chr1	246331536	246332619	0	1083	432.797	0.399628	737.233	0.680732	425.427	0.392823	432.797	737.233	11.9649	0.0110479	27.8238	0.0256914
chr1	203885329	203885857	0	528	0	0	79.8309	0.151195	0	0	0	79.8309	3.035	0.0057481	11.7052	0.0221689
chr1	237695489	237696209	0	720	97.7953	0.135827	118.892	0.165128	104.58	0.14525	97.7953	118.892	8.7548	0.0121594	13.4322	0.0186558
chr1	21250609	21251367	0	758	758.936	1.00123	118.892	0.15685	110.951	0.146373	758.936	118.892	6.27427	0.0082774	35.4993	0.0468329
chr1	83871464	83872448	0	984	0	0	0	0	110.951	0.112755	0	0	38.4919	0.0391178	14.7754	0.0150156
chr1	228465130	228466077	0	947	100.959	0.106609	466.312	0.49241	122.475	0.129329	100.959	466.312	0	0	0	0
chr1	63046129	63047102	0	973	785.615	0.807415	118.892	0.122192	0	0	785.615	118.892	22.7187	0.0233491	26.1447	0.0268702
chr1	193356764	193357278	0	514	422.952	0.822864	262.579	0.510853	110.951	0.215858	422.952	262.579	2.87449	0.0055924	0	0
chr1	246387109	246388201	0	1092	601.643	0.550955	435.836	0.399117	200.792	0.183876	601.643	435.836	24.2946	0.0222478	7.67552	0.00702886
chr1	173156402	173158495	0	2093	2837.3	1.35561	1374.71	0.656811	667.267	0.318809	2837.3	1374.71	0	0	0	0
chr1	4493321	4494005	0	684	533.574	0.780079	750.765	1.09761	510.123	0.745794	533.574	750.765	12.3735	0.0180898	0	0
chr1	215209570	215210604	0	1034	329.477	0.318643	309.497	0.29932	240.374	0.23247	329.477	309.497	10.1701	0.00983573	37.1303	0.0359094
chr1	201550723	201552193	0	1470	802.814	0.546132	3123.93	2.12513	557.066	0.378957	802.814	3123.93	37.8572	0.0257532	38.8573	0.0264336
chr10	34362157	34363024	0	867	0	0	310.066	0.357631	105.332	0.12149	0	310.066	21.4566	0.024748	21.1077	0.0243457
chr10	120803038	120803696	0	658	3510.48	5.33508	26.8856	0.0408595	76.3348	0.11601	3510.48	26.8856	6.01162	0.00913621	12.8565	0.0195387
chr10	51995690	51996350	0	660	0	0	0	0	0	0	0	0	15.5981	0.0236335	26.8643	0.0407035
chr10	55203353	55204629	0	1276	233.187	0.182749	654.862	0.513215	0	0	233.187	654.862	19.3481	0.0151631	22.8347	0.0178955
chr10	32970346	32970969	0	623	105.463	0.169282	561.847	0.901841	108.258	0.17377	105.463	561.847	11.5928	0.018608	20.1482	0.0323407
chr10	38079707	38082762	0	3055	1094.47	0.358255	1726.32	0.565081	443.869	0.145292	1094.47	1726.32	41.7677	0.0136719	72.9175	0.0238682
chr10	25007763	25008518	0	755	402.296	0.532842	81.6664	0.108167	392.945	0.520457	402.296	81.6664	7.49994	0.00993369	32.8129	0.0434607
chr10	89011717	89012847	0	1130	0	0	0	0	0	0	0	0	52.0911	0.0460983	59.7731	0.0528966
chr10	10514674	10516665	0	1991	537.879	0.270155	1210.25	0.60786	338.682	0.170106	537.879	1210.25	33.6695	0.0169108	61.9798	0.03113
chr10	16533750	16534665	0	915	1438.31	1.57193	208.668	0.228052	257.104	0.280988	1438.31	208.668	0	0	0	0
chr10	132704815	132705970	0	1155	338.763	0.293301	439.46	0.380485	153.485	0.132887	338.763	439.46	47.0571	0.040742	14.3916	0.0124603
chr10	85363292	85364056	0	764	200.333	0.262217	51.5627	0.0674905	507.587	0.66438	200.333	51.5627	5.69062	0.00744845	0	0
chr10	80400605	80401723	0	1118	454.565	0.406587	2234.89	1.99901	26.7821	0.0239553	454.565	2234.89	95.617	0.0855251	176.633	0.15799
chr10	3230113	3231275	0	1162	579.111	0.498375	2657.74	2.28721	278.793	0.239925	579.111	2657.74	9.51354	0.00818721	22.0671	0.0189906
chr10	77241582	77242313	0	731	400.448	0.547809	1049.85	1.43619	97.1004	0.132832	400.448	1049.85	9.96588	0.0136332	23.2184	0.0317626
chr10	32137378	32138583	0	1205	851.694	0.7068	295.048	0.244853	93.5154	0.0776061	851.694	295.048	19.5889	0.0162563	22.0671	0.018313
chr10	50038725	50039256	0	531	3002.43	5.65429	667.566	1.25719	0	0	3002.43	667.566	0	0	0	0
chr10	108891393	108892168	0	775	91.3689	0.117895	612.532	0.790364	67.8901	0.0876001	91.3689	612.532	15.6127	0.0201455	42.2154	0.0544714
chr10	11274360	11274821	0	461	2145.16	4.65328	229.185	0.497149	404.965	0.878449	2145.16	229.185	9.20713	0.0199721	0	0
chr10	123010817	123011955	0	1138	499.826	0.439214	1627.02	1.42972	61.0606	0.053656	499.826	1627.02	14.7227	0.0129373	6.71608	0.00590165
chr10	101957770	101958824	0	1054	1316.21	1.24878	217.233	0.206104	229.492	0.217734	1316.21	217.233	20.1725	0.019139	24.8015	0.0235309
chr10	10706096	10707520	0	1424	455.257	0.319703	584.493	0.410459	311.828	0.21898	455.257	584.493	18.0641	0.0126854	13.4322	0.0094327
chr10	53403601	53404697	0	1096	65.2451	0.0595302	678.698	0.61925	118.703	0.108305	65.2451	678.698	23.5066	0.0214477	29.7426	0.0271374
chr10	14969091	14970421	0	1330	3567.76	2.68253	126.315	0.0949736	6748.34	5.07394	3567.76	126.315	18.8666	0.0141854	29.7427	0.0223629
chr10	99446038	99446924	0	886	427.924	0.482984	999.165	1.12773	18121.3	20.4529	427.924	999.165	97.7473	0.110324	83.1835	0.0938865
chr10	111225619	111226483	0	864	38.6014	0.0446776	527.928	0.611027	96.206	0.11135	38.6014	527.928	119.992	0.138879	100.453	0.116266
chr10	129696393	129697106	0	713	421.337	0.590935	676.844	0.94929	171.394	0.240384	421.337	676.844	13.6137	0.0190936	15.351	0.0215302
chr10	6154455	6156885	0	2430	8220.27	3.38283	732.691	0.301519	1096.35	0.451174	8220.27	732.691	31.4662	0.0129491	41.7836	0.0171949
chr10	5878006	5878968	0	962	273.99	0.284813	298.988	0.310798	103.67	0.107765	273.99	298.988	15.4814	0.0160929	21.1077	0.0219415
chr10	100276851	100278119	0	1268	671.7	0.529732	2220.92	1.75152	205.857	0.162348	671.7	2220.92	17.3491	0.0136822	14.5835	0.0115012
chr10	119683118	119684416	0	1298	1161.25	0.894648	2492.27	1.92009	238.223	0.183531	1161.25	2492.27	7.87932	0.00607035	26.2887	0.0202532
chr10	61312467	61312777	0	310	37.6979	0.121606	109.975	0.35476	0	0	37.6979	109.975	54.7904	0.176743	51.474	0.166045
chr10	106617446	106617883	0	437	301.886	0.690814	47.0901	0.107758	0	0	301.886	47.0901	7.01113	0.0160438	27.7278	0.0634504
chr10	57216365	57217173	0	808	105.738	0.130864	208.085	0.257531	234.91	0.290731	105.738	208.085	20.7999	0.0257425	27.7278	0.0343166
chr10	2053377	2061901	0	8524	1996.48	0.234218	9412.65	1.10425	847.579	0.0994344	1996.48	9412.65	70.3156	0.00824913	79.6335	0.00934227
chr10	25125349	25133426	0	8077	1770.67	0.219223	3659.71	0.453103	855.579	0.105928	1770.67	3659.71	373.451	0.0462363	273.153	0.0338186
chr10	116368377	116387433	0	19056	7596.73	0.398653	27149.5	1.42472	2588.24	0.135823	7596.73	27149.5	208.299	0.0109309	301.504	0.015822
chr10	27061141	27067627	0	6486	6103.78	0.941071	1184.19	0.182576	823.5	0.126966	6103.78	1184.19	92.9687	0.0143337	97.623	0.0150513
chr10	114137067	114144029	0	6962	19358.6	2.78061	3153.19	0.452914	4427.32	0.635926	19358.6	3153.19	53.3824	0.00766768	93.3056	0.0134021
chr10	126883051	126895509	0	12458	5554.82	0.445884	18533	1.48764	3897.82	0.312877	5554.82	18533	300.888	0.0241522	477.801	0.038353
chr10	43594891	43625087	0	30196	17085.5	0.565821	39264.6	1.30032	15950.7	0.528239	17085.5	39264.6	1849.66	0.061255	1457.39	0.0482643
chr10	111307135	111307996	0	861	0	0	951.217	1.10478	0	0	0	951.217	7.18623	0.00834637	17.3179	0.0201137
chr10	76711596	76724120	0	12524	9311.4	0.743484	2624.85	0.209586	1911.8	0.152651	9311.4	2624.85	811.482	0.0647942	890.456	0.0711
chr10	9533053	9552695	0	19642	4315.23	0.219694	8171.16	0.416004	2502.88	0.127425	4315.23	8171.16	590.964	0.0300867	754.888	0.0384323
chr10	114537248	114563348	0	26100	23875.1	0.914755	8236.64	0.31558	4137.23	0.158515	23875.1	8236.64	263.782	0.0101066	393.371	0.0150717
chr10	18418431	18425945	0	7514	1082.28	0.144036	4007.12	0.533288	1034.37	0.137659	1082.28	4007.12	85.6803	0.0114028	142.957	0.0190254
chr10	41670431	41677343	0	6912	0	0	0	0	0	0	0	0	104.284	0.0150874	131.443	0.0190167
chr10	50113531	50115181	0	1650	4360.18	2.64253	765.443	0.463905	118.472	0.0718013	4360.18	765.443	36.9161	0.0223734	25.1853	0.0152638
chr10	12847381	12848454	0	1073	1974.66	1.84032	470.075	0.438094	110.951	0.103403	1974.66	470.075	9.9221	0.00924707	28.4474	0.026512
chr10	74017095	74018807	0	1712	650.43	0.379924	605.937	0.353935	188.987	0.11039	650.43	605.937	13.9639	0.00815648	25.5211	0.0149072
chr10	58661905	58663683	0	1778	784.916	0.44146	401.675	0.225914	625.618	0.351866	784.916	401.675	100.381	0.0564573	96.5677	0.0543125
chr10	342708	352932	0	10224	7224.29	0.706601	7133.18	0.69769	5508.21	0.538753	7224.29	7133.18	310.657	0.0303851	437.697	0.0428107
chr10	84723192	84725986	0	2794	807.913	0.28916	1444.9	0.517142	391.115	0.139984	807.913	1444.9	95.0188	0.0340082	140.942	0.0504445
chr10	112065506	112066282	0	776	249.363	0.321344	230.117	0.296543	1580.23	2.03638	249.363	230.117	9.55732	0.0123161	2.78238	0.00358554
chr10	15311800	15315553	0	3753	626.152	0.166841	855.046	0.22783	331.323	0.0882822	626.152	855.046	60.5467	0.0161329	44.614	0.0118875
chr10	48634483	48638452	0	3969	1993.34	0.502228	5400.34	1.36063	675.972	0.170313	1993.34	5400.34	64.6907	0.016299	127.078	0.0320176
chr10	108828682	108833628	0	4946	1839.35	0.371886	4887.88	0.98825	936.637	0.189373	1839.35	4887.88	62.6406	0.0126649	113.214	0.02289
chr10	9473446	9479845	0	6399	2108.24	0.329464	2724.07	0.425703	833.862	0.130311	2108.24	2724.07	167.479	0.0261727	257.178	0.0401903
chr10	75861243	75868404	0	7161	12315.7	1.71983	2288.04	0.319513	1275.92	0.178177	12315.7	2288.04	177.708	0.0248161	150.152	0.0209681
chr10	244245	245762	0	1517	1039.67	0.685344	614.963	0.405381	61.1868	0.0403341	1039.67	614.963	29.562	0.0194872	60.6366	0.0399714
chr10	130822602	130825361	0	2759	1288.15	0.466891	2309.2	0.836969	385.636	0.139774	1288.15	2309.2	347.478	0.125943	364.491	0.13211
chr10	60009614	60011981	0	2367	861.702	0.364048	675.559	0.285407	416.92	0.176138	861.702	675.559	32.5314	0.0137437	10.218	0.00431687
chr10	82629017	82629621	0	604	140.84	0.233178	155.525	0.257492	64.8106	0.107302	140.84	155.525	1.02139	0.00169105	0	0
chr10	122977605	122978414	0	809	374.392	0.462784	966.522	1.19471	138.024	0.170611	374.392	966.522	28.2999	0.0349813	10.362	0.0128083
chr10	117225979	117227185	0	1206	0	0	700.393	0.580757	170.83	0.14165	0	700.393	19.9318	0.0165272	32.3331	0.0268102
chr10	84682394	84684774	0	2380	1145.05	0.481112	1015.2	0.426553	304.873	0.128098	1145.05	1015.2	26.7021	0.0112194	21.1077	0.00886877
chr10	12568208	12569142	0	934	853.467	0.913776	830.455	0.889138	149.568	0.160137	853.467	830.455	5.42797	0.00581153	3.45398	0.00369806
chr10	119131913	119132648	0	735	372.09	0.506245	184.951	0.251635	6090.23	8.28602	372.09	184.951	10.4109	0.0141645	20.1482	0.0274126
chr10	132815839	132817442	0	1603	907.18	0.565927	616.035	0.384301	144.226	0.0899723	907.18	616.035	20.7926	0.0129711	7.67552	0.00478822
chr10	12242832	12243417	0	585	1826.06	3.12148	137.46	0.234974	63.3299	0.108256	1826.06	137.46	6.09188	0.0104135	30.4622	0.0520722
chr10	110480217	110481062	0	845	166.054	0.196514	226.988	0.268625	106.173	0.125649	166.054	226.988	36.0041	0.0426084	21.1077	0.0249795
chr10	40875984	40878841	0	2857	0	0	0	0	0	0	0	0	0	0	0	0
chr10	9087524	9088742	0	1218	490.342	0.40258	592.464	0.486424	187.369	0.153834	490.342	592.464	16.1964	0.0132975	19.7645	0.016227
chr10	51657066	51658144	0	1078	0	0	0	0	0	0	0	0	27.6871	0.0256837	18.7571	0.0173999
chr10	71481341	71482461	0	1120	1008.95	0.900851	3979.95	3.55352	212.25	0.189509	1008.95	3979.95	11.943	0.0106634	35.4993	0.0316958
chr10	9162330	9164108	0	1778	379.651	0.213527	906.948	0.510094	87.2867	0.0490926	379.651	906.948	57.913	0.032572	141.038	0.0793238
