Chr	Start	End	DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	564463	570356	1	5893	960.883	0.163055	788.672	0.133832	110.951	0.0188276	960.883	788.672	111925	18.9929	236160	40.0747	310178	251201	142904	143700	17630	143764	139593
chr1	624099	625137	1	1038	0	0	0	0	0	0	0	0	0	0	0	0	255397	196420	88123	88919	77266	88983	84812
chr1	645474	645962	1	488	0	0	0	0	0	0	0	0	0	0	6.71608	0.0137625	234572	175595	67298	68094	67276	68158	63987
chr1	646925	647592	1	667	0	0	0	0	0	0	0	0	0	0	0	0	232942	173965	65668	66464	65646	66528	62357
chr1	724131	727105	1	2974	528.69	0.177771	727.663	0.244675	208.25	0.0700234	528.69	727.663	33.8519	0.0113826	40.0087	0.0134528	153429	94452	8616	9507	9487	9443	0
chr1	730928	731721	0	793	0	0	0	0	0	0	0	0	0	0	0	0	148813	89836	15413	16304	16284	16240	339
chr1	816513	817083	1	570	0	0	0	0	221.885	0.389272	0	0	18.7061	0.0328177	18.1334	0.031813	63451	4474	22385	11169	11149	4315	0
chr1	1633016	1633926	0	910	0	0	0	0	0	0	0	0	8.80587	0.00967678	7.67552	0.00843464	13382	65778	8912	8320	8320	20242	0
chr1	1749239	1749751	0	512	3004.72	5.86859	45.0287	0.0879466	84.3573	0.16476	3004.72	45.0287	27.1253	0.0529791	29.3589	0.0573416	0	139637	10356	37235	10125	7017	732
chr1	1911212	1911696	0	484	167.375	0.345816	85.6644	0.176993	0	0	167.375	85.6644	20.9604	0.0433067	29.7426	0.0614518	100533	21684	59787	19487	19508	6418	6683
chr1	2472006	2472535	0	529	58.3056	0.110219	785.896	1.48563	436.396	0.824945	58.3056	785.896	37.4341	0.0707638	34.3	0.0648393	16875	9304	4800	5001	5221	111	0
chr1	2583627	2587454	1	3827	1346.95	0.35196	3868.02	1.01072	176.938	0.0462341	1346.95	3868.02	297.692	0.0777874	378.355	0.0988647	69344	120925	8932	8883	8883	4604	29848
chr1	2627004	2627849	1	845	0	0	118.892	0.140701	0	0	0	118.892	20.7708	0.0245808	61.5961	0.0728948	112721	164302	52309	52260	52260	4379	50592
chr1	3117591	3118278	0	687	317.27	0.461819	367.354	0.534722	1.84716	0.00268873	317.27	367.354	28.6428	0.0416926	42.839	0.0623566	426280	220521	422200	223098	105598	7565	549
chr1	3372259	3373345	0	1086	317.215	0.292095	2432.55	2.23992	315.719	0.290718	317.215	2432.55	95.5295	0.0879645	127.893	0.117766	171213	1682	167133	2295	900	0	13926
chr1	3808920	3809619	0	699	855.828	1.22436	0	0	0	0	855.828	0	30.5688	0.0437323	20.1483	0.0288244	679	282204	6133	7097	6321	2773	0
chr1	4114668	4116639	0	1971	1143.54	0.580185	2507.15	1.27202	153.017	0.0776344	1143.54	2507.15	91.0281	0.0461837	28.4954	0.0144573	306427	587952	296445	26844	7484	502	0
chr1	4159650	4160723	1	1073	0	0	265.918	0.247826	178.952	0.166777	0	265.918	5.90219	0.00550065	0	0	351409	632934	341427	71826	52466	1075	0
chr1	4262933	4263745	0	812	396.966	0.488874	763.043	0.939708	110.951	0.136639	396.966	763.043	14.387	0.017718	17.2699	0.0212684	454692	736217	444710	175109	24470	14128	0
chr1	4334181	4334531	1	350	103.899	0.296854	134.745	0.384985	0	0	103.899	134.745	7.03303	0.0200944	22.355	0.0638713	525940	807465	515958	246357	45818	1246	2774
chr1	4363077	4363415	1	338	121.765	0.360253	105.517	0.31218	0	0	121.765	105.517	12.213	0.036133	8.15524	0.0241279	554836	836361	544854	275253	40963	7657	0
chr1	4708805	4709429	0	624	357.121	0.572309	425.05	0.681169	36.1459	0.0579261	357.121	425.05	4.52331	0.0072489	0	0	900564	783265	890582	63244	3347	3277	2192
chr1	4800239	4800597	0	358	39.2472	0.109629	290.413	0.81121	0	0	39.2472	290.413	15.1896	0.042429	6.04447	0.016884	991998	692097	982016	154678	55959	9199	0
chr1	4879965	4881399	0	1434	598.99	0.417706	1686.4	1.17601	78.7383	0.0549082	598.99	1686.4	15.3793	0.0107247	24.6576	0.017195	1041884	611295	1061742	234404	23261	1408	3193
chr1	4926481	4927586	0	1105	303.226	0.274413	490.755	0.444123	0	0	303.226	490.755	2.49512	0.00225802	0	0	995697	565108	1108258	280920	69777	6620	0
chr1	5135319	5136128	1	809	29.0466	0.0359043	0	0	0	0	29.0466	0	11.2791	0.013942	18.3733	0.0227111	787155	356566	914997	433928	266924	777	0
chr1	5196202	5198703	0	2501	897.566	0.358883	2554.84	1.02153	322.846	0.129087	897.566	2554.84	18.2683	0.00730441	44.9018	0.0179535	724580	293991	852422	371353	204349	0	0
chr1	5446902	5447708	1	806	371.113	0.460438	598.58	0.742656	114.759	0.14238	371.113	598.58	11.9649	0.0148448	0	0	475575	44986	603417	122348	9161	1753	0
chr1	5465655	5466248	0	593	90.177	0.152069	298.462	0.503309	148.105	0.249755	90.177	298.462	6.09917	0.0102853	6.23636	0.0105166	457035	26446	584877	103808	27914	7044	5841
chr1	5559304	5559711	1	407	43.2146	0.106178	125.828	0.309159	0	0	43.2146	125.828	0	0	0	0	363572	1152	491414	10345	10345	7513	13132
chr1	5862170	5862814	0	644	102.141	0.158603	424.879	0.65975	66.2668	0.102899	102.141	424.879	17.101	0.0265544	6.71608	0.0104287	60469	304018	188311	56046	56066	352	0
chr1	6153990	6154557	0	567	1565.6	2.7612	146.985	0.259232	197.673	0.34863	1565.6	146.985	46.5536	0.0821052	48.6916	0.0858758	38	40982	65062	14480	0	2171	5586
chr1	6253392	6253714	1	322	557.007	1.72983	55.206	0.171447	78.3366	0.243281	557.007	55.206	75.8385	0.235523	106.594	0.331037	0	15550	4145	5942	5942	2345	0
chr1	6656282	6657523	0	1241	5212.27	4.20005	143.803	0.115877	67.2101	0.054158	5212.27	143.803	79.1944	0.063815	73.2053	0.058989	0	98420	1998	5113	3733	3225	1487
chr1	6716785	6717688	0	903	3115.15	3.44978	404.223	0.447644	364.17	0.403289	3115.15	404.223	29.8101	0.0330123	32.621	0.0361251	0	158923	30300	31495	21881	0	2755
chr1	6788726	6789158	1	432	248.257	0.574669	101.998	0.236106	0	0	248.257	101.998	13.2781	0.0307364	21.1077	0.0488604	45136	201658	26764	14618	8422	0	0
chr1	6802386	6803029	1	643	188.474	0.293117	121.582	0.189085	70.1384	0.10908	188.474	121.582	25.6297	0.0398595	3.07021	0.00477482	58796	187787	40424	747	307	2122	5750
chr1	6919760	6920373	0	613	285.103	0.465095	223.484	0.364574	103.412	0.168699	285.103	223.484	19.1001	0.0311583	11.7531	0.0191731	13841	70443	72707	1184	963	7872	17895
chr1	7037406	7038386	0	980	237.638	0.242488	1371.76	1.39975	0	0	237.638	1371.76	15.4814	0.0157973	1.87091	0.00190909	102343	8126	14560	115402	13922	5077	25144
chr1	7146402	7147160	0	758	145.237	0.191606	1440.92	1.90095	14.2989	0.018864	145.237	1440.92	17.4877	0.0230709	32.3811	0.0427192	211339	3106	123556	178715	15468	5663	0
chr1	8639667	8640075	0	408	209.931	0.514537	32.1214	0.078729	0	0	209.931	32.1214	1.15272	0.00282528	0	0	49466	263384	24270	18283	17134	2484	7221
chr1	8921213	8923559	1	2346	16915.7	7.21045	928.713	0.395871	579.612	0.247064	16915.7	928.713	318.835	0.135906	315.464	0.134469	0	107388	10663	12023	0	0	6684
chr1	9044248	9044948	0	700	110.641	0.158058	275.589	0.393699	0	0	110.641	275.589	4.3774	0.00625343	6.86	0.00979999	55437	13137	83761	20342	1925	1252	71
chr1	9112841	9113843	1	1002	419.387	0.41855	0	0	123.881	0.123634	419.387	0	10.9143	0.0108925	8.82685	0.00880923	12292	81730	14866	15920	13733	6457	4543
chr1	9175979	9176549	1	570	218.349	0.383069	384.078	0.673821	201.868	0.354154	218.349	384.078	7.86473	0.0137978	2.20671	0.00387142	30455	82050	5304	4875	3327	697	0
chr1	9183058	9184055	1	997	59.7829	0.0599627	0	0	71.1892	0.0714034	59.7829	0	22.3247	0.0223919	13.2882	0.0133282	22949	74544	420	5157	774	943	0
chr1	10247484	10248492	1	1008	155.389	0.154156	0	0	0	0	155.389	0	4.23878	0.00420514	0	0	7153	531176	21275	21944	1364	13298	35950
chr1	11240064	11240921	0	857	1784.99	2.08283	244.125	0.284859	144.18	0.168238	1784.99	244.125	9.79807	0.011433	24.034	0.0280443	49	130879	79708	46615	12775	1384	0
chr1	11654146	11654998	0	852	1072.67	1.259	2301.35	2.70112	47.8489	0.0561607	1072.67	2301.35	26.8772	0.031546	22.0671	0.0259004	66219	15902	55356	55584	30274	3093	0
chr1	12725690	12730578	0	4888	1707.49	0.349324	5301.83	1.08466	1134.85	0.232171	1707.49	5301.83	89.5616	0.0183227	114.893	0.0235051	158439	15783	46217	75261	6466	1128	3973
chr1	13042254	13042995	0	741	0	0	0	0	0	0	0	0	0	0	0	0	475003	225307	362781	236267	236190	3441	125006
chr1	14062173	14062630	0	457	808.454	1.76905	249.697	0.546384	0	0	808.454	249.697	4.58168	0.0100255	4.41342	0.00965738	562	152391	2124	4629	2459	3096	26814
chr1	14325022	14327252	0	2230	211.476	0.0948322	594.491	0.266588	92.1409	0.0413188	211.476	594.491	16.6341	0.00745925	45.0937	0.0202214	194182	103584	243561	2951	37878	3218	4096
chr1	14452539	14453485	0	946	116.057	0.122682	503.24	0.531967	0	0	116.057	503.24	15.5981	0.0164885	6.71608	0.00709945	321699	9533	371078	122188	11942	878	5242
chr1	14477336	14478657	0	1321	444.097	0.336182	989.039	0.748705	68.7112	0.0520146	444.097	989.039	28.6063	0.021655	42.2154	0.0319571	346496	14133	395875	102199	36739	1001	5989
chr1	14806875	14807479	1	604	95.6743	0.158401	217.611	0.360282	0	0	95.6743	217.611	12.1108	0.020051	0	0	676035	104068	117601	36417	139	4862	4539
chr1	14979191	14981505	0	2314	353.822	0.152905	1851.46	0.800112	58.7451	0.0253868	353.822	1851.46	46.7944	0.0202223	99.7818	0.0431209	757994	26201	52721	5909	5931	5670	16803
chr1	15571395	15572564	0	1169	438.298	0.374934	300.285	0.256874	215.917	0.184702	438.298	300.285	72.4824	0.0620038	57.5184	0.0492031	166935	3685	989	1032	1052	458	2117
chr1	17176187	17176752	1	565	0	0	44.5881	0.078917	0	0	0	44.5881	0.131322	0.000232428	0.863496	0.00152831	137636	64898	39019	45484	21999	29686	0
chr1	17734810	17737311	1	2501	23755.3	9.49833	1081.79	0.432542	600.444	0.240082	23755.3	1081.79	183.785	0.0734847	209.206	0.0836489	0	18918	20755	20831	1906	0	0
chr1	17753779	17754518	0	739	4288.15	5.80264	331.604	0.44872	339.694	0.459668	4288.15	331.604	53.0468	0.0717819	30.0305	0.0406366	0	37887	3548	3624	3678	208	7917
chr1	18134004	18134801	0	797	205.724	0.258124	560.233	0.702927	281.784	0.353556	205.724	560.233	10.8997	0.0136759	27.44	0.0344291	371989	263	367174	162483	17915	602	2514
chr1	18277228	18278441	0	1213	594.122	0.489795	3201.63	2.63943	463.303	0.381948	594.122	3201.63	43.6354	0.0359731	9.06672	0.00747462	515213	21489	330648	18843	17975	0	12503
chr1	18297113	18300962	0	3849	1298.04	0.337241	7116.75	1.84899	1078.54	0.280214	1298.04	7116.75	209.138	0.0543356	198.652	0.0516114	535098	0	308127	0	0	0	0
chr1	19237468	19237982	0	514	1007.35	1.95983	123.54	0.240351	59.1743	0.115125	1007.35	123.54	32.1082	0.0624674	13.4322	0.0261326	363	85466	7423	1676	1674	1613	0
chr1	19430770	19432090	0	1320	7800.98	5.90983	187.673	0.142176	232.405	0.176065	7800.98	187.673	20.975	0.0158902	21.1077	0.0159907	0	45646	102920	61246	14938	210	1895
chr1	19745773	19746668	0	895	7317.34	8.1758	467.475	0.522319	38.8594	0.0434183	7317.34	467.475	32.5752	0.0363968	0	0	0	221084	27372	27729	7269	6265	16934
chr1	19853559	19854331	1	772	0	0	248.695	0.322144	0	0	0	248.695	11.2353	0.0145535	15.6389	0.0202576	43448	113421	40003	41055	21158	7443	0
chr1	20673200	20673825	0	625	76.5001	0.1224	552.388	0.883821	181.273	0.290037	76.5001	552.388	12.8768	0.020603	19.4287	0.0310859	150654	5769	138547	67840	2796	711	0
chr1	20726107	20726750	0	643	302.307	0.47015	1111.51	1.72863	0	0	302.307	1111.51	11.1186	0.0172917	6.71608	0.0104449	97729	641	85622	93626	18186	0	0
chr1	21038868	21039670	1	802	31.6866	0.0395094	179.647	0.223998	57.3812	0.0715477	31.6866	179.647	10.0607	0.0125445	17.126	0.0213541	25018	6220	15109	15364	4366	1724	10144
chr1	21506084	21506939	1	855	78.9368	0.0923238	191.539	0.224023	0	0	78.9368	191.539	11.7752	0.0137722	41.9755	0.0490942	13070	323768	2097	2520	1780	177	0
chr1	21568849	21569213	0	364	1353.9	3.71949	437.55	1.20206	72.2463	0.198479	1353.9	437.55	15.5252	0.0426516	19.3807	0.0532437	1578	261494	46178	12563	12583	2308	1582
chr1	21894442	21895195	0	753	303.298	0.402786	1625.08	2.15815	115.78	0.153758	303.298	1625.08	40.2137	0.0534047	49.4112	0.0656191	108538	1012	38965	39241	39221	189	9193
chr1	21991356	21993432	0	2076	2218.15	1.06848	7546.51	3.63512	768.779	0.370318	2218.15	7546.51	116.84	0.0562814	150.152	0.0723278	10301	0	5217	5472	5432	1793	8208
chr1	22991548	22992409	0	861	388.053	0.4507	958.624	1.11338	0	0	388.053	958.624	27.242	0.03164	32.8129	0.0381102	137211	5308	44419	22784	22804	0	2107
chr1	23411572	23412021	1	449	850.096	1.89331	129.714	0.288895	0	0	850.096	129.714	21.0699	0.0469262	21.3955	0.0476515	0	132804	51717	28455	28455	1665	2520
chr1	24029884	24030832	1	948	1187.15	1.25227	255.649	0.269672	50.5821	0.0533566	1187.15	255.649	19.5743	0.020648	19.2368	0.020292	284	218234	8246	11560	10560	3431	8247
chr1	24926067	24926786	1	719	260.939	0.362919	60.437	0.084057	0	0	260.939	60.437	100.396	0.139632	33.5804	0.0467043	47670	5312	41403	42790	0	1394	12383
chr1	25059294	25059782	0	488	125.145	0.256444	162.357	0.332699	287.443	0.589022	125.145	162.357	48.7934	0.0999866	85.2462	0.174685	56998	126991	11389	11814	94	2326	0
chr1	25226758	25229650	1	2892	12501.4	4.32275	998.016	0.345095	2029.74	0.701847	12501.4	998.016	1154.16	0.399087	1089.4	0.376693	0	150707	21684	20466	0	0	12720
chr1	25236598	25237236	0	638	3910.5	6.12931	284.299	0.445609	118.338	0.185484	3910.5	284.299	58.9417	0.0923851	62.6994	0.098275	0	143121	14098	12880	0	0	22560
chr1	25328198	25329358	1	1160	76.5936	0.066029	215.049	0.185387	90.9634	0.0784168	76.5936	215.049	35.4934	0.0305978	18.5652	0.0160045	39759	50999	19736	19618	254	1503	0
chr1	25406952	25407639	0	687	688.349	1.00196	561.541	0.817381	185.731	0.270352	688.349	561.541	51.9452	0.0756116	60.7326	0.0884026	33290	26292	45642	20428	14637	7900	9140
chr1	25427819	25428202	0	383	42.801	0.111752	110.416	0.288292	67.5564	0.176388	42.801	110.416	127.689	0.333391	128.901	0.336556	54157	47159	66509	0	0	0	0
chr1	25611490	25612190	0	700	68.4355	0.097765	0	0	97.201	0.138859	68.4355	0	14.3725	0.0205321	17.5098	0.025014	38432	74156	16756	16886	1506	29522	4196
chr1	26453277	26454315	0	1038	348.925	0.336151	842.026	0.8112	334.026	0.321798	348.925	842.026	30.8898	0.029759	32.3331	0.0311495	6186	3078	12712	160	153	6580	7538
chr1	26726070	26726704	1	634	0	0	3.96308	0.00625091	110.951	0.175002	0	3.96308	2.04279	0.00322206	6.71608	0.0105932	37647	6685	31408	20948	3042	1443	0
chr1	26794989	26796945	1	1956	6926.59	3.5412	762.227	0.389687	741.145	0.378909	6926.59	762.227	140.836	0.0720018	183.061	0.0935896	0	56302	902	1611	0	0	0
chr1	26814730	26815423	1	693	78.1541	0.112776	0	0	0	0	78.1541	0	12.1327	0.0175075	34.7797	0.0501872	10340	76043	11120	11373	11373	11308	10614
chr1	27331309	27331754	0	445	301.526	0.677587	977.297	2.19617	139.097	0.312578	301.526	977.297	30.7366	0.0690711	27.1042	0.0609083	57467	6927	6743	6825	2685	861	0
chr1	27813426	27814561	1	1135	327.945	0.288939	0	0	3815.66	3.36181	327.945	0	16.8238	0.0148227	63.8507	0.0562562	42672	474539	0	2095	640	0	0
chr1	28118143	28119093	1	950	334.773	0.352392	0	0	68.6326	0.0722448	334.773	0	3.12254	0.00328689	7.67552	0.00807949	105	779256	16697	17514	17679	3301	0
chr1	28365801	28369497	0	3696	7595.62	2.05509	668.29	0.180814	988.799	0.267532	7595.62	668.29	52.0035	0.0140702	136.241	0.0368616	1130	765021	40987	9937	3717	2337	4419
chr1	28419155	28420226	0	1071	308.771	0.288301	174.255	0.162703	80.0053	0.0747015	308.771	174.255	11.425	0.0106676	55.2158	0.0515554	45442	714292	3535	3831	3831	723	10604
chr1	28441988	28442722	0	734	2.42041	0.00329756	141.201	0.192372	156.654	0.213425	2.42041	141.201	143.739	0.19583	187.475	0.255415	34052	691796	26368	16257	0	2104	0
chr1	28499312	28500005	0	693	184.237	0.265855	150.043	0.216512	452.334	0.652719	184.237	150.043	838.017	1.20926	763.283	1.10142	19771	634513	340	0	0	667	1538
chr1	28777474	28778352	0	878	906.063	1.03196	336.762	0.383556	189.658	0.216011	906.063	336.762	25.4911	0.0290331	65.9135	0.0750724	14734	356166	12259	897	890	5762	9398
chr1	28790515	28791138	0	623	1463.58	2.34924	14.3501	0.0230338	43.87	0.0704174	1463.58	14.3501	22.0767	0.0354361	5.56476	0.00893219	1948	343380	25300	13938	1801	5313	0
chr1	28813117	28813718	0	601	1683.19	2.80066	80.705	0.134285	0	0	1683.19	80.705	10.0388	0.0167035	31.0859	0.0517236	2164	320800	17814	18598	18598	4492	2972
chr1	28833003	28833944	1	941	3463.85	3.68103	278.324	0.295775	73030.5	77.6094	3463.85	278.324	489.576	0.520272	276.271	0.293593	0	300574	0	539	0	44	0
chr1	28833731	28834402	0	671	2670.68	3.98016	288.593	0.430093	40185	59.8882	2670.68	288.593	191.197	0.284944	82.5598	0.12304	0	300116	0	1267	587	0	0
chr1	28905053	28905516	0	463	2986.67	6.4507	244.568	0.528225	1297.33	2.80201	2986.67	244.568	23.4556	0.05066	17.8456	0.0385434	0	229002	280	1311	2820	0	471
chr1	29517433	29517977	0	544	909.656	1.67216	167.755	0.308372	365.492	0.67186	909.656	167.755	11.9065	0.021887	7.67552	0.0141094	1689	45369	8331	8809	8829	5590	0
chr1	29963297	29964441	0	1144	0	0	0	0	0	0	0	0	0	0	0	0	418746	97557	376680	215477	103335	70149	3609
chr1	30196080	30196824	1	744	198.997	0.26747	181.876	0.244457	0	0	198.997	181.876	5.20181	0.00699168	19.4287	0.0261138	651529	8614	609463	16014	10996	1637	7177
chr1	30243125	30244876	1	1751	206.879	0.118149	129.319	0.0738547	7.29318	0.00416515	206.879	129.319	17.5242	0.0100081	30.7021	0.017534	698574	2299	656508	63059	21320	2778	0
chr1	30246765	30247304	1	539	28.6981	0.0532433	191.254	0.35483	28.952	0.0537143	28.6981	191.254	0	0	0	0	702214	5939	660148	66699	18892	6418	0
chr1	30477532	30478281	0	749	88.818	0.118582	937.432	1.25158	260.489	0.347783	88.818	937.432	12.5558	0.0167635	15.3511	0.0204954	716536	48044	594953	155388	80635	11419	2648
chr1	30939565	30940136	0	571	517.001	0.90543	1801.77	3.15546	143.309	0.250979	517.001	1801.77	24.4551	0.0428285	13.9599	0.0244481	254681	16951	133098	54026	14881	304	26850
chr1	31002721	31003186	1	465	146.764	0.315622	150.363	0.323361	0	0	146.764	150.363	7.3978	0.0159092	20.1962	0.0434327	191631	7350	70048	117182	78037	2893	0
chr1	31127942	31128672	1	730	322.2	0.44137	120.872	0.165578	29.0768	0.0398313	322.2	120.872	8.71832	0.0119429	0	0	66145	5365	54365	62364	52344	15935	0
chr1	31154075	31154563	0	488	0	0	237.802	0.487299	0	0	0	237.802	4.21689	0.00864116	21.4915	0.0440399	40254	2800	36143	36473	26453	3566	0
chr1	31205082	31208027	1	2945	15022.4	5.10098	664.03	0.225477	1127.01	0.382687	15022.4	664.03	783.671	0.266102	431.316	0.146457	0	46397	8080	12778	0	0	0
chr1	31305170	31305883	1	713	0	0	282.579	0.396324	0	0	0	282.579	3.14443	0.00441014	6.71608	0.00941947	75897	4767	7801	7686	7666	183	3860
chr1	31589948	31591068	1	1120	144.845	0.129326	18.8246	0.0168077	0	0	144.845	18.8246	6.25239	0.00558249	30.7021	0.0274126	57578	119969	36360	36768	36748	8642	0
chr1	31724561	31725197	1	636	61.9509	0.097407	43.3015	0.0680841	0	0	61.9509	43.3015	7.52913	0.0118383	25.5211	0.0401275	6203	12699	12175	36279	12357	19959	0
chr1	31904598	31905057	1	459	84.1139	0.183255	143.4	0.312419	0	0	84.1139	143.4	38.8859	0.0847188	23.5543	0.0513165	63451	17497	7714	8014	8014	2270	9249
chr1	31967610	31968179	1	569	0	0	40.8224	0.071744	0	0	0	40.8224	0	0	0	0	124595	74117	46626	11306	3497	4092	1690
chr1	32490102	32490728	0	626	1137.36	1.81687	0	0	110.951	0.177238	1137.36	0	19.7275	0.0315136	23.1705	0.0370136	584	181771	7713	10638	8593	7081	0
chr1	32788815	32789536	0	721	1822.62	2.5279	97.4802	0.135201	61.1974	0.0848784	1822.62	97.4802	19.3919	0.0268958	47.5403	0.0659366	973	140374	6631	11312	3071	6470	48304
chr1	32795292	32798155	1	2863	13602.9	4.75128	817.705	0.285611	420.028	0.146709	13602.9	817.705	216.915	0.0757648	226.428	0.0790876	0	131755	1046	2693	2701	0	44472
chr1	32798458	32801074	1	2616	8803.71	3.36533	1150.87	0.439935	50966.7	19.4827	8803.71	1150.87	1373.29	0.524959	775.468	0.296433	0	128836	0	0	0	0	41553
chr1	33046484	33047110	1	626	261.089	0.417075	39.8369	0.0636373	110.951	0.177238	261.089	39.8369	5.96056	0.00952166	11.7531	0.018775	24557	116440	30501	30726	30726	4980	0
chr1	33206522	33206891	0	369	281.355	0.762481	2768.45	7.50258	587.608	1.59243	281.355	2768.45	26.8845	0.0728578	18.5172	0.0501821	32076	0	111	12525	6711	138	797
chr1	33951420	33952521	0	1101	2222.84	2.01893	322.624	0.293029	287.154	0.260812	2222.84	322.624	12.6434	0.0114835	37.4182	0.0339856	1676	31288	12398	13196	13196	0	4099
chr1	34307838	34309502	0	1664	568.272	0.34151	1702.97	1.02342	190.635	0.114564	568.272	1702.97	25.761	0.0154814	37.9459	0.022804	347254	109223	319553	59214	22437	0	0
chr1	34839538	34840290	0	752	266.035	0.353769	136.658	0.181726	168.091	0.223526	266.035	136.658	15.2625	0.0202959	22.0671	0.0293446	473070	77663	210067	13039	11434	2904	908
chr1	34854009	34854587	1	578	315.376	0.545633	299.387	0.517971	0	0	315.376	299.387	4.10016	0.0070937	0	0	458773	92134	224538	27510	25905	0	15379
chr1	35458184	35458553	1	369	0	0	0	0	0	0	0	0	2.15952	0.00585235	0	0	202	63655	6439	7180	7180	4606	22264
chr1	35460427	35461107	1	680	156.608	0.230306	118.892	0.174842	0	0	156.608	118.892	5.57388	0.00819689	13.4322	0.0197532	2445	65898	8682	9423	9423	6849	19710
chr1	35654561	35657032	1	2471	15348.3	6.21139	1517.69	0.614201	54659.9	22.1206	15348.3	1517.69	128.834	0.0521385	178.024	0.0720454	0	260032	0	604	144	0	3663
chr1	35707906	35708236	0	330	192.167	0.582325	281.393	0.852707	0	0	192.167	281.393	4.93917	0.0149672	0	0	39581	313377	25463	25725	11522	1352	12278
chr1	36134791	36135222	0	431	187.57	0.435198	447.969	1.03937	0	0	187.57	447.969	5.83654	0.0135418	15.0632	0.0349495	38432	2780	26552	27547	26527	3189	6528
chr1	36770954	36772283	0	1329	2840.29	2.13717	251.26	0.189059	13629.7	10.2556	2840.29	251.26	495.646	0.372947	204.073	0.153554	1164	24825	0	293	273	0	1843
chr1	36868833	36869902	1	1069	105.738	0.0989129	182.307	0.17054	0	0	105.738	182.307	9.04663	0.0084627	0	0	8932	71466	4838	5209	2009	1769	5674
chr1	37009416	37010986	1	1570	264.964	0.168767	278.535	0.177411	0	0	264.964	278.535	6.28157	0.004001	12.5207	0.00797497	81114	9397	78766	8510	8530	585	11718
chr1	37067602	37068591	0	989	557.95	0.564156	2251.48	2.27652	261.466	0.264374	557.95	2251.48	23.6671	0.0239304	33.8683	0.0342449	139300	5372	136952	6425	6385	448	0
chr1	37086737	37087602	0	865	425.658	0.492091	1741.06	2.01279	117.074	0.135345	425.658	1741.06	18.4289	0.021305	13.4322	0.0155285	158435	13879	156087	11573	11613	2082	0
chr1	37188245	37189236	0	991	531.046	0.535869	2011.74	2.03001	62.2046	0.0627696	531.046	2011.74	33.3485	0.0336514	40.8242	0.0411949	259943	3455	257595	18721	8183	6591	0
chr1	37542632	37550190	0	7558	3704.58	0.490153	8993.91	1.18999	1915.2	0.253401	3704.58	8993.91	158.338	0.0209497	178.456	0.0236115	390979	21861	389213	74654	9826	0	6571
chr1	37686304	37686984	0	680	105.738	0.155497	118.892	0.174842	0	0	105.738	118.892	5.552	0.0081647	0	0	254185	34283	252419	61312	16733	4271	0
